Episode,Total Reward,Epsilon,Attempts,Success
614,138,0.046065053286412784,4,1
615,165,0.04583472801998072,5,1
616,73,0.045605554379880814,6,0
617,151,0.04537752660798141,4,1
618,134,0.0451506389749415,3,1
619,159,0.044924885780066794,4,1
620,135,0.04470026135116646,2,1
621,148,0.04447676004441063,4,1
622,177,0.04425437624418858,5,1
623,130,0.04403310436296763,2,1
624,150,0.043812938841152796,5,1
625,182,0.04359387414694703,5,1
626,138,0.043375904776212296,3,1
627,143,0.043159025252331236,4,1
628,151,0.04294323012606958,5,1
629,139,0.04272851397543923,4,1
630,140,0.04251487140556204,5,1
631,144,0.04230229704853423,3,1
632,168,0.04209078556329156,6,1
633,152,0.0418803316354751,5,1
634,145,0.041670929977297724,5,1
635,149,0.04146257532741124,4,1
636,139,0.04125526245077418,4,1
637,156,0.04104898613852031,4,1
638,143,0.04084374120782771,4,1
639,144,0.04063952250178857,4,1
640,137,0.04043632488927963,3,1
641,152,0.04023414326483323,3,1
642,134,0.040032972548509065,4,1
643,204,0.03983280768576652,6,1
644,155,0.03963364364733769,4,1
645,155,0.039435475429100995,4,1
646,142,0.03923829805195549,4,1
647,155,0.03904210656169572,4,1
648,143,0.03884689602888724,4,1
649,45,0.0386526615487428,6,0
650,155,0.03845939824099909,4,1
651,177,0.03826710124979409,5,1
652,157,0.038075765743545126,4,1
653,148,0.0378853869148274,4,1
654,148,0.03769595998025326,4,1
655,142,0.03750748018035199,3,1
656,165,0.037319942779450235,6,1
657,159,0.037133343065552986,4,1
658,131,0.03694767635022522,3,1
659,168,0.036762937968474095,5,1
660,141,0.03657912327863173,3,1
661,174,0.036396227662238566,6,1
662,165,0.03621424652392737,5,1
663,138,0.036033175291307735,4,1
664,136,0.03585300941485119,3,1
665,137,0.035673744367776934,4,1
666,144,0.03549537564593805,4,1
667,143,0.035317898767708356,4,1
668,145,0.03514130927386981,4,1
669,125,0.03496560272750046,1,1
670,96,0.03479077471386296,6,0
671,164,0.03461682084029365,5,1
672,136,0.034443736736092176,4,1
673,140,0.034271518052411715,3,1
674,148,0.034100160462149656,3,1
675,138,0.03392965965983891,4,1
676,157,0.033760011361539714,4,1
677,134,0.03359121130473201,3,1
678,140,0.033423255248208356,3,1
679,138,0.03325613897196732,3,1
680,177,0.03308985827710748,5,1
681,152,0.032924408985721944,4,1
682,154,0.03275978694079333,5,1
683,141,0.032595988006089364,4,1
684,153,0.032433008066058915,5,1
685,149,0.03227084302572862,4,1
686,130,0.032109488810599975,2,1
687,53,0.031948941366546975,6,0
688,172,0.03178919665971424,5,1
689,143,0.03163025067641567,4,1
690,139,0.03147209942303359,3,1
691,171,0.03131473892591842,5,1
692,143,0.031158165231288826,3,1
693,176,0.03100237440513238,6,1
694,156,0.030847362533106718,4,1
695,159,0.030693125720441184,5,1
696,149,0.030539660091838977,5,1
697,144,0.03038696179137978,4,1
698,139,0.030235026982422884,4,1
699,144,0.030083851847510768,3,1
700,132,0.029933432588273214,4,1
701,144,0.029783765425331846,4,1
702,179,0.029634846598205186,5,1
703,174,0.02948667236521416,5,1
704,136,0.029339239003388088,3,1
705,139,0.029192542808371146,3,1
706,158,0.02904658009432929,4,1
707,153,0.028901347193857643,4,1
708,129,0.028756840457888354,3,1
709,141,0.02861305625559891,3,1
710,155,0.028469990974320916,5,1
711,143,0.02832764101944931,3,1
712,179,0.028186002814352063,6,1
713,138,0.0280450728002803,3,1
714,142,0.0279048474362789,3,1
715,136,0.027765323199097504,3,1
716,149,0.027626496583102015,3,1
717,177,0.027488364100186506,5,1
718,146,0.027350922279685573,4,1
719,139,0.027214167668287145,4,1
720,151,0.02707809682994571,4,1
721,171,0.02694270634579598,5,1
722,147,0.026807992814067,5,1
723,159,0.026673952849996664,4,1
724,135,0.02654058308574668,3,1
725,150,0.026407880170317945,3,1
726,140,0.026275840769466357,4,1
727,142,0.026144461565619025,3,1
728,137,0.02601373925779093,4,1
729,137,0.025883670561501974,4,1
730,144,0.025754252208694463,4,1
731,166,0.02562548094765099,5,1
732,147,0.025497353542912736,4,1
733,151,0.02536986677519817,4,1
734,149,0.02524301744132218,4,1
735,143,0.025116802354115567,3,1
736,133,0.024991218342344988,4,1
737,145,0.024866262250633264,3,1
738,153,0.024741930939380097,5,1
739,151,0.024618221284683196,4,1
740,149,0.02449513017825978,4,1
741,148,0.02437265452736848,4,1
742,63,0.024250791254731636,6,0
743,150,0.024129537298457977,4,1
744,172,0.024008889611965685,5,1
745,142,0.023888845163905856,4,1
746,157,0.023769400938086327,4,1
747,159,0.023650553933395897,4,1
748,141,0.023532301163728918,4,1
749,131,0.023414639657910272,3,1
